연도 ,지역,업종명,규모,사업장명(현장명),소재지,중대재해재해자수(명),근로자수(명),재해자수(명),재해율(퍼센트),규모별 동종업종 평균 재해율(퍼센트)
2020,인천,건설업,50인미만,"(주)다은건설(원청), (주)한성공영(하청)(2020년도 권역별 상수도시설물 정비(동부권역)공사(연간계약))",인천 미추홀구 석정로 225 (도화동),3,1,3,300,1.82
2020,경기,건설업,50인미만,"그린알앤씨(주)(원청), 대한자원 (하청)(대덕전자(주) 부분철거)",경기 안산시 단원구 별망로 459번길 97 (목내동),3,1,3,300,1.82
2017,경기,건설업,50인 미만,한국테크라인㈜(센터포인트몰B블록3층뽀로로매장원상복구공사),경기 화성시 동탄중앙로 200 (반송동),2,1,3,300,1.78
2020,경남,화학 및 고무제품제조업,50인미만,삼인산업㈜ ,경남 함안군 법수면 황사길 18-70 ,2,1,3,300,0.82
2020,경북,화학 및고 무제품제조업,50인미만,(주)책임환경개발,경북 상주시 낙동면 영남제일로 503-27,1,2,5,250,0.82
2019,대구,건설업,50인미만,유창전설㈜(수전설비변경및내선공사),대구 달서구 성서공단북로 386 (장동),2,1,2,200,2
2020,경기,건설업,50인미만,한성건축((주)부림화이바 철거 및 보수공사),경기 양주시 은현면 그루고개로 587-26 ,2,1,2,200,1.82
2020,경남,건설업,50인미만,개인사업자 이강일(이강일증축공사),경남 남해군 서면 남서대로2197번길 189-14 (외1필지),2,1,2,200,1.82
2019,서울,건설업,50인미만,건양상사(남원교회페인트공사),"서울 강서구 까치산로 160 (화곡동, 남원교회)",1,1,2,200,2
2019,경기,화학 및 고무제품제조업,50인미만,경성케미칼,경기 포천시 신북면 청신로2082번길 19 ,1,1,2,200,1.01
2019,충남,건설업,50인미만,개인사업자 임민재 (임민재 단독주택신축공사(창진농장)),충남 홍성군 광천읍 월림리 768-1번지,1,1,2,200,2
2019,경남,"기계기구, 비금속광물 및 금속제품제조업",50인미만,대신공업사,경남 양산시 산막공단북11길 124 (산막동),1,1,2,200,1.39
2020,인천,건설업,50인미만,상신플랜트주식회사(인천공장 P-13 가열조정기 STEAM TUBE 교체의 건),인천 서구 봉수대로 126 (가좌동) 사조대림,1,1,2,200,1.82
2020,충남,건설업,50인미만,대한종합공사(벽체 및 지붕 보수공사),충남 아산시 인주면 인주산단로 123-90 ((주)우신금속),1,1,2,200,1.82
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,"우양에이치씨주식회사(원청), (주)동성엔지니어링(하청)",경기 평택시 포승읍 포승공단로 118번길 88 ,1,2,3,150,1.12
2020,강원,건설업,50인미만,"㈜동성(원청,) (주)효림(하청)(국도31호선 영월 상동교 노후교량 개축공사중 철근콘크리트공사)",강원 영월군 영월읍 은행나무1길 49-30 102호,3,7,7,100,1.82
2019,경남,건설업,50인미만,개인사업자 조창희(최점순신축공사),경남 진주시 충무공동 324-27번지,2,3,3,100,2
