접수일자,제작사,차명,모델년도
2021-12-31,(주)재규어랜드로버코리아,레인지로버 이보크 2.0D,2017
2021-12-31,현대자동차(주),쏘나타(SONATA),2015
2021-12-31,기아주식회사,K7,2017
2021-12-31,현대자동차(주),싼타페(SANTAFE),2013
2021-12-31,현대자동차(주),쏘나타 하이브리드 (SONATA HYBRID),2020
2021-12-31,기아주식회사,K7,2017
2021-12-31,현대자동차(주),쏘나타 하이브리드 (SONATA HYBRID),2021
2021-12-31,기아주식회사,K7,2016
2021-12-30,기아주식회사,K7,2013
2021-12-31,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2017
2021-12-31,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-12-31,기아주식회사,K7,2016
2021-12-31,기아주식회사,K7,2016
2021-12-31,폭스바겐그룹코리아 주식회사,Golf 1.6 TDI BMT,2015
2021-12-31,르노코리아자동차 주식회사,QM6,2018
2021-12-30,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2021-12-31,기아주식회사,K7,2016
2021-12-31,현대자동차(주),에쿠스(EQUUS),2010
2021-12-31,현대자동차(주),투싼(TUCSON),2016
2021-12-31,폭스바겐그룹코리아 주식회사,Jetta 1.4 TSI,2020
2021-12-31,현대자동차(주),쏘나타(SONATA),2020
2021-12-31,르노코리아자동차 주식회사,SM6,2019
2021-12-31,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-31,기아주식회사,K7,2016
2021-12-31,현대자동차(주),쏘나타 하이브리드 (SONATA HYBRID),2021
2021-12-31,스텔란티스코리아주식회사,짚그랜드체로키,2020
2021-12-31,현대자동차(주),쏘나타(SONATA),2020
2021-12-31,현대자동차(주),쏘나타(SONATA),2021
2021-12-31,한불모터스(주),Peugeot 2008 1.6 Blue-HDi,2016
2021-12-31,현대자동차(주),쏘나타(SONATA),2015
2021-12-30,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-30,기아주식회사,K7,2016
